user_id,timestamp,group,experiment_day,revenue,pre_exp_revenue,purchased,hour_of_day,day_of_week,week_of_exp
100001,2024-01-02 05:59:17,control,2,0.0,0.0,0,5,1,1
100002,2024-01-11 20:02:57,control,11,461.02,40.19,1,20,3,2
100003,2024-01-04 16:17:01,control,4,0.0,0.0,0,16,3,1
100004,2024-01-10 17:38:34,control,10,0.0,0.0,0,17,2,2
100005,2024-01-03 11:35:22,control,3,878.21,89.27,1,11,2,1
100006,2024-01-05 15:17:04,control,5,0.0,0.0,0,15,4,1
100007,2024-01-06 16:49:10,control,6,0.0,0.0,0,16,5,1
100008,2024-01-10 18:18:56,control,10,0.0,0.0,0,18,2,2
100009,2024-01-03 19:41:37,control,3,486.37,54.54,1,19,2,1
100010,2024-01-02 07:38:36,control,2,2036.52,136.84,1,7,1,1
100011,2024-01-08 08:53:48,control,8,1254.67,115.85,1,8,0,2
100012,2024-01-14 15:48:32,control,14,0.0,0.0,0,15,6,2
100013,2024-01-01 16:23:20,control,1,634.52,84.0,1,16,0,1
100014,2024-01-11 15:44:34,control,11,0.0,0.0,0,15,3,2
100015,2024-01-10 15:52:19,control,10,1567.05,127.65,1,15,2,2
100016,2024-01-11 13:13:51,control,11,879.45,87.35,1,13,3,2
100017,2024-01-08 12:05:34,control,8,180.39,19.55,1,12,0,2
100018,2024-01-02 19:02:46,control,2,2362.64,191.35,1,19,1,1
100019,2024-01-12 18:09:19,control,12,0.0,0.0,0,18,4,2
100020,2024-01-07 07:19:46,control,7,894.71,73.86,1,7,6,1
100021,2024-01-01 20:52:57,control,1,0.0,0.0,0,20,0,1
100022,2024-01-12 15:38:53,control,12,947.22,122.27,1,15,4,2
100023,2024-01-03 13:20:12,control,3,0.0,0.0,0,13,2,1
100024,2024-01-13 23:23:34,control,13,0.0,0.0,0,23,5,2
100025,2024-01-11 22:36:23,control,11,0.0,0.0,0,22,3,2
100026,2024-01-07 16:56:57,control,7,868.69,129.64,1,16,6,1
100027,2024-01-06 15:12:40,control,6,1487.92,64.63,1,15,5,1
100028,2024-01-12 12:26:52,control,12,562.97,98.37,1,12,4,2
100029,2024-01-08 15:15:51,control,8,542.26,47.02,1,15,0,2
100030,2024-01-04 16:40:23,control,4,0.0,0.0,0,16,3,1
100031,2024-01-14 14:41:21,control,14,0.0,0.0,0,14,6,2
100032,2024-01-13 18:13:46,control,13,0.0,0.0,0,18,5,2
100033,2024-01-07 14:45:43,control,7,640.09,46.14,1,14,6,1
100034,2024-01-08 18:20:25,control,8,739.25,67.44,1,18,0,2
100035,2024-01-07 15:08:31,control,7,365.22,51.5,1,15,6,1
100036,2024-01-13 19:02:04,control,13,592.25,90.72,1,19,5,2
100037,2024-01-13 00:23:09,control,13,848.68,218.19,1,0,5,2
100038,2024-01-12 14:05:02,control,12,845.86,47.55,1,14,4,2
100039,2024-01-04 20:59:28,control,4,1309.3,93.23,1,20,3,1
100040,2024-01-09 20:14:21,control,9,0.0,0.0,0,20,1,2
100041,2024-01-03 07:31:01,control,3,1545.23,135.16,1,7,2,1
100042,2024-01-11 14:43:02,control,11,0.0,0.0,0,14,3,2
100043,2024-01-10 19:22:32,control,10,0.0,0.0,0,19,2,2
100044,2024-01-03 14:11:00,control,3,569.52,51.17,1,14,2,1
100045,2024-01-06 17:59:41,control,6,0.0,0.0,0,17,5,1
100046,2024-01-14 14:09:16,control,14,0.0,0.0,0,14,6,2
100047,2024-01-08 17:39:24,control,8,1118.98,52.08,1,17,0,2
100048,2024-01-13 12:05:19,control,13,1019.67,83.25,1,12,5,2
100049,2024-01-10 11:46:50,control,10,0.0,0.0,0,11,2,2
100050,2024-01-05 11:18:21,control,5,1100.79,93.96,1,11,4,1
100051,2024-01-11 15:19:34,control,11,1373.79,125.95,1,15,3,2
100052,2024-01-03 17:23:54,control,3,1149.85,84.92,1,17,2,1
100053,2024-01-06 02:16:20,control,6,0.0,0.0,0,2,5,1
100054,2024-01-07 12:49:05,control,7,0.0,0.0,0,12,6,1
100055,2024-01-05 17:50:32,control,5,0.0,0.0,0,17,4,1
100056,2024-01-01 14:43:05,control,1,0.0,0.0,0,14,0,1
100057,2024-01-08 15:38:50,control,8,859.34,130.42,1,15,0,2
100058,2024-01-02 19:00:48,control,2,971.62,94.53,1,19,1,1
100059,2024-01-11 09:46:27,control,11,393.42,64.44,1,9,3,2
100060,2024-01-10 13:30:16,control,10,602.11,44.47,1,13,2,2
100061,2024-01-04 13:42:15,control,4,0.0,0.0,0,13,3,1
100062,2024-01-11 10:14:24,control,11,500.45,22.97,1,10,3,2
100063,2024-01-06 20:08:37,control,6,933.38,112.43,1,20,5,1
100064,2024-01-14 13:04:59,control,14,0.0,0.0,0,13,6,2
100065,2024-01-06 18:02:44,control,6,543.42,68.18,1,18,5,1
100066,2024-01-05 13:28:38,control,5,781.24,97.31,1,13,4,1
100067,2024-01-13 16:15:36,control,13,915.4,88.87,1,16,5,2
100068,2024-01-12 11:11:53,control,12,512.56,51.86,1,11,4,2
100069,2024-01-05 12:47:50,control,5,680.35,63.81,1,12,4,1
100070,2024-01-07 13:46:14,control,7,948.23,124.04,1,13,6,1
100071,2024-01-03 20:27:24,control,3,533.69,45.59,1,20,2,1
100072,2024-01-03 15:39:44,control,3,351.14,41.01,1,15,2,1
100073,2024-01-07 11:32:52,control,7,0.0,0.0,0,11,6,1
100074,2024-01-02 19:39:13,control,2,626.79,65.4,1,19,1,1
100075,2024-01-10 14:39:24,control,10,411.49,56.55,1,14,2,2
100076,2024-01-07 15:50:12,control,7,647.74,147.65,1,15,6,1
100077,2024-01-05 14:56:45,control,5,1659.36,103.31,1,14,4,1
100078,2024-01-12 19:33:18,control,12,0.0,0.0,0,19,4,2
100079,2024-01-05 18:33:10,control,5,667.76,168.81,1,18,4,1
100080,2024-01-10 09:03:27,control,10,0.0,0.0,0,9,2,2
100081,2024-01-13 17:02:22,control,13,0.0,0.0,0,17,5,2
100082,2024-01-02 13:00:39,control,2,641.71,71.1,1,13,1,1
100083,2024-01-03 05:59:28,control,3,0.0,0.0,0,5,2,1
